Affenpinscher,affenpinscher
Afghan Hound,afghan_hound
Airedale Terrier,airedale
Alaskan Malamute,malamute
American Staffordshire Terrier,american_staffordshire_terrier
Appenzell Mountain Dog,appenzeller
Australian Kelpie,kelpie
Australian Terrier,australian_terrier
Basenji,basenji
Basset Hound,basset
Beagle,beagle
Bedlington Terrier,bedlington_terrier
Belgian Shepherd / Malinois,malinois
Belgian Shepherd / Sheepdog ,groenendael
Bernese Mountain Dog,bernese_mountain_dog
Black Labrador Retriever,labrador_retriever
Bloodhound,bloodhound
Bluetick Coonhound,bluetick
Border Collie,border_collie
Border Terrier,border_terrier
Borzoi,borzoi
Boston Terrier,boston_bull
Bouvier des Flandres,bouvier_des_flandres
Boxer,boxer
Briard,briard
Brittany Spaniel,brittany_spaniel
Brussels Griffon,brabancon_griffon
Bullmastiff,bull_mastiff
Cairn Terrier,cairn
Cardigan Welsh Corgi,cardigan
Cavalier King Charles Spaniel ,blenheim_spaniel
Chesapeake Bay Retriever,chesapeake_bay_retriever
Chihuahua,chihuahua
Chocolate Labrador Retriever,labrador_retriever
Chow Chow,chow
Clumber Spaniel,clumber
Cocker Spaniel,cocker_spaniel
Collie,collie
Corgi,cardigan
Curly-Coated Retriever,curly-coated_retriever
Dandie Dinmont Terrier,dandie_dinmont
Doberman Pinscher,doberman
English Foxhound,english_foxhound
English Setter,english_setter
English Springer Spaniel,english_springer
Entlebucher,entlebucher
Eskimo Dog,eskimo_dog
Flat-Coated Retriever,flat-coated_retriever
French Bulldog,french_bulldog
German Shepherd Dog,german_shepherd
German Shorthaired Pointer,german_short-haired_pointer
Giant Schnauzer,giant_schnauzer
Golden Retriever,golden_retriever
Gordon Setter,gordon_setter
Great Dane,great_dane
Great Pyrenees,great_pyrenees
Greater Swiss Mountain Dog,greater_swiss_mountain_dog
Husky,siberian_husky
Ibizan Hound,ibizan_hound
Irish Setter,irish_setter
Irish Terrier,irish_terrier
Irish Water Spaniel,irish_water_spaniel
Irish Wolfhound,irish_wolfhound
Italian Greyhound,italian_greyhound
Japanese Chin,japanese_spaniel
Keeshond,keeshond
Kerry Blue Terrier,kerry_blue_terrier
Komondor,komondor
Kuvasz,kuvasz
Labrador Retriever,labrador_retriever
Lakeland Terrier,lakeland_terrier
Leonberger,leonberg
Lhasa Apso,lhasa
Maltese,maltese_dog
Miniature Pinscher,miniature_pinscher
Miniature Poodle,miniature_poodle
Miniature Schnauzer,miniature_schnauzer
Newfoundland Dog,newfoundland
Norfolk Terrier,norfolk_terrier
Norwegian Elkhound,norwegian_elkhound
Norwich Terrier,norwich_terrier
Old English Sheepdog,old_english_sheepdog
Otterhound,otterhound
Papillon,papillon
Pekingese,pekinese
Pembroke Welsh Corgi,pembroke
Pit Bull Terrier,american_staffordshire_terrier
Pomeranian,pomeranian
Poodle,standard_poodle
Pug,pug
Redbone Coonhound,redbone
Retriever,labrador_retriever
Rhodesian Ridgeback,rhodesian_ridgeback
Rottweiler,rottweiler
Rough Collie,collie
Saint Bernard,saint_bernard
Saluki,saluki
Samoyed,samoyed
Schipperke,schipperke
Scottish Deerhound,scottish_deerhound
Scottish Terrier,scotch_terrier
Sealyham Terrier,sealyham_terrier
Shetland Sheepdog / Sheltie,shetland_sheepdog
Shih Tzu,shih_tzu
Siberian Husky,siberian_husky
Silky Terrier,silky_terrier
Smooth Collie,collie
Staffordshire Bull Terrier,staffordshire_bullterrier
Standard Poodle,standard_poodle
Standard Schnauzer,standard_schnauzer
Sussex Spaniel,sussex_spaniel
Tibetan Mastiff,tibetan_mastiff
Tibetan Terrier,tibetan_terrier
Toy Fox Terrier,toy_terrier
Toy Manchester Terrier,toy_terrier
Treeing Walker Coonhound,walker_hound
Vizsla,vizsla
Weimaraner,weimaraner
Welsh Springer Spaniel,welsh_springer_spaniel
West Highland White Terrier / Westie,west_highland_white_terrier
Wheaten Terrier,soft-coated_wheaten_terrier
Whippet,whippet
Wire Fox Terrier,wire-haired_fox_terrier
Wirehaired Terrier,wire-haired_fox_terrier
Xoloitzcuintli / Mexican Hairless,mexican_hairless
Yellow Labrador Retriever,labrador_retriever
Yorkshire Terrier,yorkshire_terrier
Not avail,Not available
